incident_number,calendaryear,month,incdate,problem,responsearea,prioritydescription,council_district,location,longitude,latitude
22000037,2022,Jan,01/01/2022 12:00:00 AM,BOX -Structure Fire,00-2306,1F,4,"(-97.692635,30.364969)",-97.692635,30.364969
22000085,2022,Jan,01/01/2022 12:00:00 AM,BOXS - Still Box Alarm,00-1407,1F,4,"(-97.714795,30.316076)",-97.714795,30.316076
22000122,2022,Jan,01/01/2022 12:00:00 AM,BOXL- Structure Fire,00-4104,1F,1,"(-97.612957,30.372331)",-97.612957,30.372331
22000252,2022,Jan,01/01/2022 12:00:00 AM,BOX -Structure Fire,00-1709,1F,3,"(-97.765376,30.213776)",-97.765376,30.213776
22000440,2022,Jan,01/01/2022 12:00:00 AM,BOX -Structure Fire,00-2306,1F,4,"(-97.691949,30.359055)",-97.691949,30.359055
22000581,2022,Jan,01/01/2022 12:00:00 AM,BOXL- Structure Fire,00-4001,1F,7,"(-97.670770,30.406651)",-97.67077,30.406651
22000653,2022,Jan,01/02/2022 12:00:00 AM,BOX -Structure Fire,00-2305,1F,4,"(-97.696442,30.349147)",-97.696442,30.349147
22000699,2022,Jan,01/02/2022 12:00:00 AM,BOX -Structure Fire,00-3102,1F,10,"(-97.798841,30.384608)",-97.798841,30.384608
22000799,2022,Jan,01/02/2022 12:00:00 AM,BOX -Structure Fire,00-0201,1F,9,"(-97.751851,30.285251)",-97.751851,30.285251
22000844,2022,Jan,01/02/2022 12:00:00 AM,BOXS - Still Box Alarm,00-4001,1F,7,"(-97.651433,30.389071)",-97.651433,30.389071
22000892,2022,Jan,01/02/2022 12:00:00 AM,BOXS - Still Box Alarm,00-4001,1F,7,"(-97.642155,30.406236)",-97.642155,30.406236
22000969,2022,Jan,01/02/2022 12:00:00 AM,BOXS - Still Box Alarm,00-3403,1F,6,"(-97.809452,30.467244)",-97.809452,30.467244
22001028,2022,Jan,01/02/2022 12:00:00 AM,BOX -Structure Fire,00-1001,1F,10,"(-97.762989,30.291350)",-97.762989,30.29135
22001084,2022,Jan,01/02/2022 12:00:00 AM,BOXS - Still Box Alarm,00-1101,1F,5,"(-97.773710,30.248166)",-97.77371,30.248166
22001205,2022,Jan,01/03/2022 12:00:00 AM,BOXL- Structure Fire,00-5106,1F,5,"(-97.795518,30.230068)",-97.795518,30.230068
22001213,2022,Jan,01/03/2022 12:00:00 AM,BOXL- Structure Fire,00-3904,1F,6,"(-97.862570,30.366938)",-97.86257,30.366938
22001282,2022,Jan,01/03/2022 12:00:00 AM,BOXS - Still Box Alarm,00-2503,1F,10,"(-97.748314,30.394168)",-97.748314,30.394168
22001436,2022,Jan,01/03/2022 12:00:00 AM,BOXS - Still Box Alarm,00-2101,1F,10,"(-97.755579,30.356287)",-97.755579,30.356287
22001531,2022,Jan,01/03/2022 12:00:00 AM,BOXS - Still Box Alarm,00-2102,1F,10,"(-97.764292,30.366280)",-97.764292,30.36628
22001560,2022,Jan,01/03/2022 12:00:00 AM,BOXS - Still Box Alarm,04-4801,1F,-,"(-97.572826,30.238514)",-97.572826,30.238514
22001570,2022,Jan,01/03/2022 12:00:00 AM,BOXS - Still Box Alarm,00-4001,1F,7,"(-97.663633,30.409145)",-97.663633,30.409145
22001652,2022,Jan,01/03/2022 12:00:00 AM,BOX -Structure Fire,00-0805,1F,7,"(-97.737398,30.371433)",-97.737398,30.371433
22002355,2022,Jan,01/05/2022 12:00:00 AM,BOXL- Structure Fire,00-2404,1F,2,"(-97.738214,30.158095)",-97.738214,30.158095
22002422,2022,Jan,01/05/2022 12:00:00 AM,BOXS - Still Box Alarm,00-1706,1F,3,"(-97.769329,30.239432)",-97.769329,30.239432
22002486,2022,Jan,01/05/2022 12:00:00 AM,BOX -Structure Fire,00-2803,1F,7,"(-97.697425,30.407034)",-97.697425,30.407034
22002878,2022,Jan,01/06/2022 12:00:00 AM,BOXS - Still Box Alarm,00-3606,1F,2,"(-97.785565,30.194777)",-97.785565,30.194777
22003126,2022,Jan,01/06/2022 12:00:00 AM,BOX -Structure Fire,00-1101,1F,5,"(-97.769764,30.254056)",-97.769764,30.254056
22003215,2022,Jan,01/07/2022 12:00:00 AM,BOX -Structure Fire,00-0801,1F,4,"(-97.716434,30.370666)",-97.716434,30.370666
22003238,2022,Jan,01/07/2022 12:00:00 AM,BOX -Structure Fire,00-2001,1F,5,"(-97.806641,30.209738)",-97.806641,30.209738
22003300,2022,Jan,01/07/2022 12:00:00 AM,BOX -Structure Fire,00-1705,1F,5,"(-97.792424,30.236289)",-97.792424,30.236289
22003313,2022,Jan,01/07/2022 12:00:00 AM,BOX -Structure Fire,00-0501,1F,1,"(-97.686171,30.276227)",-97.686171,30.276227
22003315,2022,Jan,01/07/2022 12:00:00 AM,BOX -Structure Fire,00-0501,1F,1,"(-97.686093,30.276351)",-97.686093,30.276351
22003353,2022,Jan,01/07/2022 12:00:00 AM,BOXS - Still Box Alarm,00-4002,1F,1,"(-97.621895,30.392712)",-97.621895,30.392712
