county,tract_code,population,total_units,"1-unit, detached","1-unit, attached",total_units_age,Built 2010-2019,Built 2020 or later,Built 1939 or earlier,single_family_units,multifamily_units,pct_single_family,pct_built_2010_plus,pct_built_pre1970,median_income,land_area_m2,population_density,urban_class
453,001312,4732,2580,1366,156,2580,602,9,520,1522,1058,58.992248062015506,23.682170542635657,20.155038759689923,102600,1968315,6226.584667596396,INNER_SUBURBAN
453,001401,2597,1846,514,53,1846,303,0,395,567,1279,30.715059588299027,16.413867822318526,21.397616468039004,101012,1266478,5310.972634345011,INNER_SUBURBAN
453,001402,2200,1495,848,81,1495,170,0,314,929,566,62.14046822742475,11.37123745819398,21.003344481605353,82212,1305667,4364.053008921876,INNER_SUBURBAN
453,001403,1477,848,255,68,848,7,9,4,323,525,38.089622641509436,1.8867924528301887,0.4716981132075472,78036,800036,4781.572329245184,INNER_SUBURBAN
453,001501,5799,2546,2087,22,2546,129,0,23,2109,437,82.83582089552239,5.066771406127259,0.9033778476040848,136650,3472367,4325.4097277159935,INNER_SUBURBAN
453,001503,5214,2930,1320,69,2930,1057,152,35,1389,1541,47.4061433447099,41.262798634812285,1.1945392491467577,91813,3475141,3885.960310675164,INNER_SUBURBAN
453,001504,6729,3253,1447,285,3253,1238,82,0,1732,1521,53.243160159852444,40.57792806640025,0.0,102857,2633763,6617.189929390002,INNER_SUBURBAN
453,001505,4702,2541,1268,167,2541,588,23,92,1435,1106,56.473829201101935,24.045651318378592,3.620621802439984,93565,2152918,5656.592587362825,INNER_SUBURBAN
453,001602,2892,1754,430,185,1754,81,0,61,615,1139,35.06271379703535,4.618015963511972,3.477765108323831,78583,2637501,2839.9155109325075,OUTER_SUBURBAN
453,001603,4390,1946,1638,141,1946,158,40,376,1779,167,91.41829393627955,10.174717368961973,19.321685508735868,194500,2559600,4442.139396780747,INNER_SUBURBAN
453,001604,4111,1867,1463,289,1867,222,60,244,1752,115,93.84038564542047,15.104445634708089,13.069094804499196,233875,3035085,3508.1356864799504,INNER_SUBURBAN
453,001605,4712,2469,1305,25,2469,157,0,676,1330,1139,53.86796273795059,6.358849736735521,27.379505872823007,110394,1894186,6442.915320881899,INNER_SUBURBAN
453,001606,86,5,0,0,5,5,0,0,0,5,0.0,100.0,0.0,-666666666,503773,442.1435845112779,OUTER_SUBURBAN
453,001910,4753,2038,1081,167,2038,222,0,0,1248,790,61.236506378802744,10.893032384690873,0.0,150363,6776565,1816.5943955381524,OUTER_SUBURBAN
453,001911,3018,2061,69,46,2061,31,0,0,115,1946,5.5798156234837455,1.5041242115477924,0.0,87925,3274085,2387.4212184472913,OUTER_SUBURBAN
453,001912,4324,1738,1241,66,1738,186,36,0,1307,431,75.20138089758342,12.773302646720369,0.0,192569,13484912,830.4955938904162,OUTER_SUBURBAN
453,001913,4937,1834,1604,127,1834,95,0,9,1731,103,94.38386041439476,5.179934569247546,0.49073064340239914,250001,12027127,1063.1657917971597,OUTER_SUBURBAN
453,001914,5926,3076,1607,97,3076,334,0,24,1704,1372,55.39661898569571,10.858257477243173,0.7802340702210664,127750,13677504,1122.1594232397958,OUTER_SUBURBAN
